"Product Labels","Product Labels"
"Add New label","Add New label"
"Save and Continue Edit","Save and Continue Edit"
"Label Information","Label Information"
Conditions,Conditions
"Product Conditions","Product Conditions"
"Date Range","Date Range"
"Use Date Range","Use Date Range"
No,No
Yes,Yes
"From Date","From Date"
"From Time","From Time"
"In format 15:32","In format 15:32"
"To Date","To Date"
"To Time","To Time"
"In format 19:32","In format 19:32"
State,State
"Is New","Is New"
"Does not matter","Does not matter"
"Is on Sale","Is on Sale"
"Use Special Price Only","Use Special Price Only"
"For `On Sale` condition","For `On Sale` condition"
Stock,Stock
Status,Status
"Out of Stock","Out of Stock"
"In Stock","In Stock"
"Price Range","Price Range"
"Use Price Range","Use Price Range"
"By Price","By Price"
"Base Price","Base Price"
"Special Price","Special Price"
"Final Price","Final Price"
"Final Price Incl Tax","Final Price Incl Tax"
"Starting from Price","Starting from Price"
"Starting to Price","Starting to Price"
"From Price","From Price"
"To Price","To Price"
"Customer Groups","Customer Groups"
"Use Customer Groups","Use Customer Groups"
"For Customer Groups","For Customer Groups"
Images,Images
"Product Page","Product Page"
Text,Text
Image,Image
Position,Position
"Label Block Styles","Label Block Styles"
"Text Style","Text Style"
"Example: color:red;font-size:12px;","Example: color:red;font-size:12px;"
"Label Size","Label Size"
"Percent of the product image.","Percent of the product image."
"Category Page","Category Page"
Remove,Remove
General,General
Name,Name
Priority,Priority
"Use 0 to show label first, and 99 to show it last","Use 0 to show label first, and 99 to show it last"
"Hide if label with higher priority is already applied","Hide if label with higher priority is already applied"
"Use for Parent","Use for Parent"
"Display child`s label for parent (configurable and grouped products only)","Display child`s label for parent (configurable and grouped products only)"
Store,Store
"Label Options","Label Options"
"Image doesn`t exist.","Image doesn`t exist."
"You deleted the label.","You deleted the label."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"We can't find a item to delete.","We can't find a item to delete."
"This item no longer exists.","This item no longer exists."
"Edit Product Label","Edit Product Label"
"New Product Label","New Product Label"
Catalog,Catalog
"Manage Product Labels","Manage Product Labels"
"Amasty Product Labels","Amasty Product Labels"
Amasty,Amasty
"The wrong label is specified.","The wrong label is specified."
"You saved the label.","You saved the label."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
"The next lowest integer value","The next lowest integer value"
"By rules of mathematical rounding","By rules of mathematical rounding"
"The next highest integer value","The next highest integer value"
"Display Settings","Display Settings"
"Product Page Label Container","Product Page Label Container"
"DOM-selector for Container","DOM-selector for Container"
"Category Page Label Container","Category Page Label Container"
"`On Sale` Condition","`On Sale` Condition"
"Minimal discount amount","Minimal discount amount"
"Minimal discount percentage","Minimal discount percentage"
"Rounding of discount percentage","Rounding of discount percentage"
"`Is New` Condition","`Is New` Condition"
"Use `New from Date` and `New to Date`","Use `New from Date` and `New to Date`"
"Use `Creation Date`","Use `Creation Date`"
"It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes.","It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes."
"Product is new threshold","Product is new threshold"
"In days","In days"
"Label ID","Label ID"
"Product Page Label","Product Page Label"
"Product Page Text","Product Page Text"
"Category Page Label","Category Page Label"
"Category Page Text","Category Page Text"
